order_id,purchase_date,customer_id,customer_gender,customer_age,product_category,product_name,product_price,quantity,order_total,payment_method,shipping_region
96,2023-08-12,822,Masculino,18,Accesorios,Bolso,90.72,3,272.16,PayPal,Oeste
142,2023-03-09,139,Femenino,18,Ropa,Pantalón,131.68,3,395.04,PayPal,Oeste
216,2023-08-24,86,Masculino,18,Calzado,Zapatillas,36.18,1,36.18,Transferencia bancaria,Este
235,2023-03-15,473,Masculino,18,Ropa,Vestido,78.55,5,392.75,Transferencia bancaria,Centro
284,2023-04-24,113,Masculino,18,Calzado,Sandalias,116.37,1,116.37,Tarjeta de crédito,Norte
313,2023-07-15,837,Masculino,18,Accesorios,Reloj,133.15,3,399.45,Tarjeta de crédito,Oeste
406,2023-12-02,896,Femenino,18,Accesorios,Bufanda,112.24,1,112.24,Efectivo,Centro
453,2023-10-30,879,Femenino,18,Accesorios,Gorro,152.49,3,457.47,Transferencia bancaria,Norte
574,2023-12-22,993,Femenino,18,Calzado,Botas,54.74,4,218.96,PayPal,Centro
774,2023-09-21,873,Femenino,18,Calzado,Sandalias,95.74,4,382.96,Tarjeta de crédito,Centro
831,2023-11-04,843,Femenino,18,Ropa,Sweater,170.94,3,512.82,Transferencia bancaria,Sur
943,2023-12-01,259,Masculino,18,Accesorios,Cinturón,87.52,1,87.52,Tarjeta de crédito,Norte
1012,2023-02-01,853,Femenino,18,Calzado,Botas,91.53,5,457.65,PayPal,Sur
1015,2023-07-04,217,Femenino,18,Calzado,Pantuflas,110.07,5,550.35,Tarjeta de crédito,Oeste
1134,2023-06-19,53,Masculino,18,Calzado,Sandalias,169.53,4,678.12,Transferencia bancaria,Este
1172,2023-05-04,604,Masculino,18,Ropa,Camiseta,41.86,1,41.86,PayPal,Centro
1185,2023-08-10,945,Masculino,18,Ropa,Camiseta,89.01,2,178.02,Transferencia bancaria,Norte
1234,2023-06-25,750,Masculino,18,Ropa,Camiseta,121.89,1,121.89,Tarjeta de crédito,Norte
1257,2023-01-27,812,Femenino,18,Calzado,Zapatillas,94.59,4,378.36,PayPal,Este
1309,2023-02-12,607,Masculino,18,Calzado,Pantuflas,90.94,3,272.82,Transferencia bancaria,Oeste
1312,2023-05-19,137,Femenino,18,Ropa,Camiseta,100.45,3,301.35,PayPal,Centro
1402,2023-05-31,334,Femenino,18,Ropa,Vestido,103.34,3,310.02,PayPal,Oeste
1624,2023-03-05,182,Femenino,18,Accesorios,Cinturón,166.67,2,333.34,PayPal,Norte
